卦名,数,符,先天卦数,后天卦数,符号名称,二进（阳1）,先天余数,五行,卦象代表,属性,五位,人事现象,身体部位,动物,地理位置,静物,季节,八门方位,紫白九星,天运九星,宅局九星,四吉凶位
乾,0,☰,1,6,乾三连,7,1,阳金,天,刚健,西北方,父、君,头、首,狮、马,观光区、较高处,珠宝、金玉,秋末,天门,六白,武曲,武曲,延年
兑,1,☱,2,7,兑上缺,6,2,阴金,泽,喜悦,西方,少女,口,羊,崩破之山地、泉,饮食用具、玩具,秋,惊门,七赤,破军,破军,绝命
离,2,☲,3,9,离中虚,5,3,阴火,火,明丽,南方,中女,眼睛(血液系统),雉,炉灶、干旱地,字画、美术品,夏,景门,九紫,右弼,廉贞,五鬼
震,3,☳,4,3,震仰盂,4,4,阳木,雷,活动,东方,长男,足(神经系统),蜕鼠、蛇(龙),森林、闹区,木竹、乐器,春,伤门,三碧,蚩尤,贪狼,生气
巽,4,☴,5,4,巽下断,3,5,阴木,风,进入,东南方,长女,股,鸡,果菜园、公园,木材、纤维品,春末,杜门,四禄,文昌,辅弼,伏位
坎,5,☵,6,1,坎中满,2,6,阳水,水,险陷,北方,中男,耳,猪,水边沼泽地,油、酒、醋、酱,冬,休门,一白,文曲,文曲,六煞
艮,6,☶,7,8,艮覆碗,1,7,阴土,山,停止,东北方,少男,手,狗,丘陵、山路、墓园,石级、坟墓,多末,生门,八白,财帛,巨门,天医
坤,7,☷,8,2,坤六断,0,0,阴土,地,柔顺,西南方,母,腹,牛,平地、山野、村落,水泥砖、瓦玉谷,夏末,鬼门,二黑,病符,禄存,祸害
中,,☯,,5,,,,,,,,,,,,,,,,,,
